,Sentence,Schema,Schema Slot,Slot Value,Pattern,Lexical Trigger,Target LM,Target CM,Source LM,Source CM,Sentence ID,Unnamed: 11,Unnamed: 12
114,"The addiction of wealth is just as serious as cocaine or gluttony, just more civilized",01 Health and Safety,Threat,wealth,,addiction,wealth,Wealth,addiction,Addiction,2377734,,
198,"The Obama plan offers more generous tax relief for middle class families, including a ""Making Work Pay Credit"" that would benefit 95 percent of workers and their families, providing $1,000 for a typical working family.",01 Health and Safety,Threat,tax,,relief,tax,Taxation,relief,Physical Burden,1788723,,
179,"The reality is that gun control destroys lives, it destroys families, it destroys freedom, and it keeps no one safer.",01 Health and Safety,Threat,gun control,,destroys,gun control,Control of Guns,destroys,Natural Physical Force,2378636,,
1627,"As Jesus and Elijah gave the widows their sons, today, as a society we must ask who in society should be given a safety net, so they will not fall into the abyss of poverty.",12 High and Low,Destination,poverty,,fall into,poverty,Poverty,abyss,Abyss,158443,,
1721,"The perfect storm of homelessness and poor health in South Los Angeles requires a powerful human right to health approach that can engender the broad-based support and political will necessary to implement long overdue, desperately needed solutions.",13 Nature: Weather,Weather,homelessness,storm of [weather],storm of,homelessness,Poverty,storm,Natural Physical Force,124636,,
452,"I can't remember a more tortuous election journey, where we have been subjected to repeated violence of speech and thought, outrage, anger, bold-faced lies and people talking past one another instead of to each other in a way that promotes understanding and respect.",02 Journey,Agent,election,,journey,election,Elections,journey,Journey,3118921,,
569,Do photo ops on the evening news of gun owners shivering in the cold and holding signs move the gun rights ball forward?,03 Conflict,Aid,gun rights,[aid] ball,ball,gun rights,Gun Rights,ball,Game,2377445,,
176,"Now, if this movie is zero entertainment and 100% guns are bad, guns are evil, guns are lucifer etc. etc. then nobody will even go see this movie.",01 Health and Safety,Threat,guns,[threat] is/are evil,evil,guns,Guns,,Monster,2105932,,
1042,"Yesterday, Mom's Demand Action and Everytown for Gun Safety, the conjoined gun control cult bought and paid for by the miniature billionaire, claimed that there have [...]",04 Power and Control: God,God,gun control,,cult,gun control,Control of Guns,cult,A God,3710125,,
638,MILLER: Democratic front group hyped as hunters by media in gun control fight,03 Conflict,Conflict,gun control,,fight,gun control,Control of Guns,fight,Struggle,2523427,,
1216,"I think when they have to make a compromise.,. I think they would sell our gun rights down the river... especially Mccain.",05 Engineering and Business: Business,Product,gun rights,,sell,gun rights,Gun Rights,sell,Resource,2718674,,
116,Gun addicts increasingly realize that society is rejecting them.,01 Health and Safety,Threat,Gun,,addicts,Gun,Guns,addicts,Addiction,2376901,,
1147,"Guns dominate his thoughts, if you can consider such a subservient zombie to the NRA a thinking individual.",04 Power and Control: Human,Leader,Guns,,dominate,Guns,Guns,dominate,Enslavement/Leader,3123963,,
124,Constitution restrains the Feds,01 Health and Safety,Threat,Constitution,,restrains,Constitution,Government,restrains,Confinement/Physical Harm,1973595,,
191,The devastation of democracy is clearly evident in the historical record.,01 Health and Safety,Threat,democracy,,devastation,democracy,Democracy,devastation,Natural Physical Force/Physical Harm,155942,,
659,"As I remember, despite the American Rifleman having a monthly feature ""A Court Case of Consequence,"" to my memory during the '60s the NRA provided relatively little, and mostly mild, commentary on the developing gun control battle.",03 Conflict,Conflict,gun control,,battle,gun control,Control of Guns,battle,Struggle/War,2395746,,
1099,"If you really want to give credit where credit is due, when it comes to wealth worship. look to right wing talk radio.",04 Power and Control: God,God,wealth,,worship,wealth,Wealth,worship,A God,2377312,,
1342,Democracy captures the fundamental characteristic that separates mankind from the rest of the animals -- the ability to plan for a better future and to work to change behavior in order to achieve it.,05 Engineering and Business: Resource,Extractor,Democracy,,captures,Democracy,Democracy,captures,Confinement,761416,,
1348,"Most importantly, a large reverse income tax would generate much political opposition while this proposal has wide spread support.",05 Engineering and Business: Resource,Extractor,income tax,,generate,income tax,Taxation,generate,Energy/Machine,377813,,
512,The retreat of gun control is over,02 Journey,Change,gun control,retreat of [change],retreat of,gun control,Control of Guns,retreat,Backward Movement,2376920,,
670,"After Newtown, focus of U.S. gun control battle shifts to states - News - 1450 WHTC Holland's Hometown Station There will be a push for a federal law requiring universal background checks 2014 A federal law requiring universal background checks for all gun sales and transfers, including private transactions made via the Internet and at gun shows, remains the chief goal of gun-control advocates.",03 Conflict,Conflict,gun control,,battle,gun control,Control of Guns,battle,War,2170351,,
1032,"In the stampede to celebrate the victory of gun rights, many conservatives failed to consider the peculiar nature of the victory: the decision, authored by the Court's most outspoken opponent of judicial activism (at least theoretically), struck down a law passed by democratically elected representatives of the District of Columbia.",03 Conflict,Winner,gun rights,,victory,gun rights,Gun Rights,victory,Game,2377479,,
752,"Meantime, a survivor of the Virginia Tech mass-shooting and a relative of a student killed in the 2007 tragedy circulated an e-mail urging Democrats to oppose Deeds because he resists gun control.",03 Conflict,Enemy,gun control,,resists,gun control,Control of Guns,resists,Struggle,3123569,,
76,"And because the deductions are made before tax, employees get the tax relief straight away.",01 Health and Safety,Protection,tax,,relief,tax,Taxation,relief,Physical Burden,2097277,,
883,Why do we accept that guns kill and join in this futile debate of defending guns like some kind of power that acts on its own.,03 Conflict,Side,guns,,defending,guns,Guns,defending,Protection/Struggle,2165266,,
258,"Where the corporation tax is a direct frontal attack on the institution of private property, the ESOP offers a powerful means for counterattacking in a manner that will simultaneously serve other desirable social goals: it can help overcome shortages in private sector capital formation; it fosters more equity financing; it can help foster more private sector jobs in the fabricating and operations of newly added plant and equipment; it can help expand the federal revenue base from expanded private payrolls and dividend rolls; and it can help create a broader base of shareholder constituents to help corporations surmount unreasonable and unwarranted political attacks.",01 Health and Safety,Threat,tax,,attack,tax,Taxation,attack,Struggle/War,2666727,,
922,I oppose federal gun registration.,03 Conflict,Side,gun registration,,oppose,gun registration,Control of Guns,oppose,Struggle,2895207,,
1223,"alone, regardless of viewership, is enough to create this deliberate democracy?Is Baym too optimistic in making a claim about the role that these programs serve to facilitate democratic discourse?",05 Engineering and Business: Engineering,Built,democracy,,create,democracy,Democracy,create,Building,155878,,
1123,I'm tempted to say gun control is an ideologically based religion with many duped believers.,04 Power and Control: God,Worshipper,believers,,believers,gun control,Control of Guns,religion,A God,,,
234,Gun bans kill kids,01 Health and Safety,Threat,Gun bans,,kill,Gun bans,Control of Guns,kill,Physical Harm,2621483,,
1570,The posthumous Lion-prince of Monarchial dominance is infecting the houses of the restless with every scratch from its filthy claws of Democracy.,09 Animals,Wild Animal,democracy,claws of [wild animal],claws of,democracy,Democracy,claws of,Animal,155515,,
1212,"If the nation of Pakistan can buy democracy, rule of law (going forward), civilian supremacy, justice etc. for 1.5 billion dollars from Mr. Zardari, I say where do we sign up?",05 Engineering and Business: Business,Product,democracy,,buy,democracy,Democracy,buy,Resource,2666874,,
866,"I'd like to repeat the last paragraph from your post above -- You accurately describe, once again, the pro-gun team's tactics against other posters on HuffPost and any honest discourse.",03 Conflict,Side,pro-gun,,team,pro-gun,Gun Rights,team,Game,3124557,,
1101,"Never mind that democracy is another name for mob rule, a tyranny of the majority, but this shallow ideology worships elections at the expense of reason and consequences.",04 Power and Control: God,God,elections,,worships,elections,Elections,worships,A God,2377484,,
62,"We've been lulled into complacency by the notion that affluence breeds democracy, and democracy heals all rifts.",01 Health and Safety,Protection,democracy,,heals,democracy,Democracy,heals,Medicine,3118233,,
1049,It was also bestowed on the libraries; then our divine city council pawned them off.,04 Power and Control: God,God,city council,,divine,city council,Government,divine,A God,1973222,,
660,"If we want to get rid of the failures of Stalinism associated with the left, we need to be at the forefront of the struggle for democracy and realize that ""that the first step in the revolution by the working class is to raise the proletariat to the position of ruling class to win the battle of democracy",03 Conflict,Conflict,Democracy,,battle,democracy,Democracy,battle,Struggle/War,1973708,,
50,How does additional taxes alleviate those issues??? PatentLaw,01 Health and Safety,Protection,taxes,,alleviate,taxes,Taxation,alleviate,Medicine,159317,,
1729,"Using such decidedly “business-model” jargon, we feel, detracts from our noble and altruistic mission to educate, empower and develop informed citizens who will carry the mantle of American democracy for future generations.",14 Embodied Experience: Clothing,Body,informed citizens,[body] will carry the mantle,will carry the mantle,democracy,Democracy,mantle,Clothing,3021862,,
1039,"The unqualified arrogance of last week's letter from Michael Crowley was astounding (""Democracy Defeats Terrorism,"" issue of Dec. 1-7).",03 Conflict,Winner,Democracy,,Defeats,Democracy,Democracy,Defeats,Struggle,156085,,
978,The news came after the Bank of England cut interest rates to a record low of 1.5 percent on Thursday as it and the government battle to prevent Britain falling further into a recession that has cost thousands of jobs.,03 Conflict,Side,government,,battle,government,Government,battle,War,2082785,,
367,Protect Children Not Guns,01 Health and Safety,Threatened,guns,,protect,Guns,Guns,Protect,Protection,2425905,,
948,"When we believe He redeemed us from the curse of poverty and wrap all of our words and actions around that belief, then we strengthen the faith barrier against the attack of poverty.",03 Conflict,Side,poverty,,attack,poverty,Poverty,attack,Struggle/War,1971375,,
171,"And too many people are focused on the evil guns....decades down the road nobody will remember the name of the guy who walked into Sandy Hook that day, just that he had guns.",01 Health and Safety,Threat,guns,evil [threat],evil,guns,Guns,evil,Monster,,,
302,"the anti gun scum bags try to incrementally destroy gun rights-hoping that when its time to finally ban guns, there won't be real resistance.",01 Health and Safety,Threatened,gun rights,,destroy,gun rights,Gun Rights,destroy,Natural Physical Force/Physical Harm,3124208,,
749,"For those of us trying to oppose the U.S. empire, our primary task is organizing people in the United States to resist these imperial policies.",03 Conflict,Enemy,policies,,resist,policies,Bureaucracy,resist,Struggle,3005628,,
1518,It is environmental blackmail and is an immoral abuse of relative wealth and a serious form of exploitation.,06 Morality and Justice,Victim,wealth,,abuse,wealth,Wealth,abuse,Physical Harm,711364,,
30,It may well be a problem even so it cannot be cured by guns.,01 Health and Safety,Protection,guns,cured by [protection],cured by,guns,Guns,cured,Disease,,,
547,Can you back up a bit and stay on the gun rights path please..?,02 Journey,Goal,gun rights,,path,gun rights,Gun Rights,path,Journey,3123775,,
399,Firearm organisations provably have absolutely no idea of how to fight gun control and show no sign of figuring it out even if told.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2909755,,
1746,changing face of hunger,14 Embodied Experience: Human Body,Body,hunger,face of [body],face of,hunger,Poverty,changing face,Human Body,1830451,,
1316,So eventualy our gun rights will be demolished thanks to less lethal force?,05 Engineering and Business: Engineering,Destruction Potential,DANGER,,demolished,gun rights,Gun Rights,demolished,Building,2376974,,
561,"Perhaps we can see why gun control is a win win answer to the social problems which can be exacerbated with more hand outs, more care, more aid, more relief and the creation of a nation of dependants.",03 Conflict,Aid,gun control,,win,gun control,Control of Guns,win,Competition/Game,2665364,,
640,"The throne speach will pass - Dion and the liberals are in no position to fight an election, so they'll continue to ignore Kyoto, turn turtle on Afganastan and allow REAL crime legislation.",03 Conflict,Conflict,election,,fight,election,Elections,fight,Struggle,2665766,,
1752,"Geezus, I don't have a gun control bone in my body but this is way over the top",14 Embodied Experience: Human Body,Body Part,gun control,[body part] bone,bone,gun control,Control of Guns,bone,Human Body,,,
74,"But see Harvey P. Dale, Foreign Charities, 48 TAX LAW. 655, 660â€“61 (1995) (arguing that none of the tax benefits conferred to charities was ever predicated on a theory of government burden relief).",01 Health and Safety,Protection,government,,relief,government,Bureaucracy/Government,relief,Physical Burden,2672211,,
677,"But he is in a dogfight in a potential general election battle against Democrat Alison Lundergran Grimes, the Bluegrass state's secretary of state.",03 Conflict,Conflict,election,,battle,election,Elections,battle,War,3119178,,
85,"The 2011 Civic Mission of Schools report, ""The Guardian of Democracy,"" raises major concern surrounding diminished civic learning in the United States and outlines six proven practices that can help restore the civic mission of schools.",01 Health and Safety,Protection,Democracy,,Guardian,Democracy,Democracy,Guardian,Protection,3118384,,
1294,"The origins, evolutions, and engines of wealth : government, global leadership, and technology -- 4.",05 Engineering and Business: Engineering,Built,wealth,,engines,wealth,Wealth,engines,Vehicle,23850,,
1329,"You are now charged with a felony and if the charges stick in court, your gun rights evaporate.",05 Engineering and Business: Resource,Change Type,DECREASE,,evaporate,gun rights,Gun Rights,evaporate,Body of Water,2376959,,
1585,"Rather, Abe's Japan is a wealthy, mature, and greying democracy.",10 Human Life Cycle and Family Relations,Entity,democracy,greying [entity],greying,democracy,Democracy,greying,Life Stage,,,
145,"Taxes don't reduce deficits, taxes and spending dance around zero to produce a revenue or a deficit.",01 Health and Safety,Threat,Taxes,,reduce,Taxes,Taxation,reduce,Downward Movement,2902163,,
1534,"This bureaucracy experimented with three tax models: a land tax, customs tax, and finally an Excise tax -- a tax on the producers of the goods of everyday consumption.",07 Systematic Explanations,Experiment,three tax models,experimented with [experiment],experimented,bureaucracy,Bureaucracy,experimented,Science,1973637,,
1727,We should not all be this eager to hang our gun rights hat on this story.,14 Embodied Experience: Clothing,Body,We,,hat,gun rights,Gun Rights,hat,Clothing,2377001,,
141,"That led to Kaine proposals on property tax relief, on spending more money on education, and to respond to their complaints about growth and traffic.",01 Health and Safety,Threat,property tax,,relief,property tax,Taxation,relief,Disease/Physical Burden,56948,,
811,Their only purpose is to confuse and tire apathetic and defeated voters into staying away from the polls so the six incumbents and the anointed incumbent for Greig Smith's seat can eke out re-election despite the Council's grotesque failures on every level and its total loss of credibility.,03 Conflict,Loser,voters,,defeated,voters,Elections,defeated,Competition/Game/War,3119158,,
1295,"Men, women and children are dying for the lack of a government backbone.",05 Engineering and Business: Engineering,Component,government,,backbone,government,Bureaucracy/Government,backbone,Animal,761732,,
518,"BigBut: Over time, the 10Percenters Wealth decreases as they pay off the Debt and thus their Net Worth increases.",02 Journey,Change,Wealth,,decreases,Wealth,Wealth,decreases,Downward Movement,2420148,,
1258,"On December 27, 2007, millions of Kenyans went to the polls in Kenyas fourth multiparty elections with the hope of strengthening democracy and bringing change.",05 Engineering and Business: Engineering,Built,democracy,,strengthening,democracy,Democracy,strengthening,Building/Strength,1718264,,
395,People like Rebecca Peters see this as a golden opportunity becasue they know that people who accept gun control are not going to fight gun control or be motivated to even object.,01 Health and Safety,Threatened,gun control,,fight,gun control,Control of Guns,fight,Struggle,2120299,,
445,"November 12, 2008: Ecuador government advances Zamora Hydroelectric Complex",02 Journey,Agent,government,,advances,government,Government,advances,Forward Movement,2621668,,
1661,"Poverty and food security are heterogeneous phenomena in most countries; types and depth of poverty, measured in different ways, vary between and within countries and regions.",12 High and Low,Scale,poverty,,depth,poverty,Poverty,depth,Abyss,133455,,
412,"In contrast, many slaveowners in the early nineteenth century defended a strong national government as the best bulwark against both slave revolts and the ""leveling tendencies"" of non-slaveholders.",01 Health and Safety,Threatened,government,,defended,government,Government,defended,Struggle/War,155717,,
1512,It's the rape of poverty.,06 Morality and Justice,Victim,poverty,,rape,poverty,Poverty,rape,Crime/Physical Harm,1973412,,
519,If that were true gun control would be decreasing and the number of gun control laws would be decreasing.,02 Journey,Change,gun control,,decreasing,gun control,Control of Guns,decreasing,Downward Movement,2669017,,
565,"So what is your problem and all this waffle, deflection and avoidance, gun control makes the specific claim gun control will reduce crime, the supply of guns to criminals and increase public safety.",03 Conflict,Aid,gun control,,reduce,gun control,Control of Guns,reduce,Downward Movement,2888427,,
1697,"And together, one vote at a time, a mighty river, a swelling ocean we call democracy floods across this nation as 120 million votes are cast for President.",13 Nature: Body of Water,Body of Water,democracy,[body of water] floods,floods,democracy,Democracy,floods,Body of Water/Natural Physical Force,760926,,
673,I believe that the NRA is losing the gun control battle.,03 Conflict,Conflict,gun control,,battle,gun control,Control of Guns,battle,War,3123601,,
455,"During his yearlong poverty quest, Ryan repeatedly stressed the inadequacy of federal programs, along with the need for better-off members of society to give their time to the poor.",02 Journey,Agent,poverty,,quest,poverty,Poverty,quest,Journey,3121033,,
571,Things must be getting a bit desperate for the powers that be if they are playing the gun control card.,03 Conflict,Aid,gun control,[aid] card,card,gun control,Control of Guns,card,Game,2377436,,
511,"Then wealth recedes and feelgood evaporates and the Fed has to get back to ""supporting"".",02 Journey,Change,wealth,,recedes,wealth,Wealth,recedes,Backward Movement,3125360,,
658,We have been fighting the gun control battle for 80 years.,03 Conflict,Conflict,gun control,,battle,gun control,Control of Guns,battle,Struggle/War,2104720,,
1640,Create gobs and mountains of money immediately when you know exactly how!,12 High and Low,Level,HIGH,,mountains,money,Wealth,mountains,Hazardous Geographic Feature,122239,,
1416,It's a damn shame that Jeb Bush and his concubine Katherine Harris stole the election from Al Gore.,06 Morality and Justice,Crime,election,,stole,election,Elections,stole,Theft,2543249,,
1036,Poverty wins every game.,03 Conflict,Winner,Poverty,,wins,Poverty,Poverty,wins,Game,2378210,,
1060,"Democracy is not a god, democracy is a vehicle, a system, a possibility, and just like any structure, it has its dark side too, as we say in Arabic: ""adimoukratiyya laha anyab"", in this case, it becomes a god that devours his children !",04 Power and Control: God,God,Democracy,,god,Democracy,Democracy,god,A God,2673846,,
1066,He finds that providing readers with a corrective information to dispel an Obamacare myth can actually strengthen belief in death panels.,04 Power and Control: God,God,Obamacare,,myth,Obamacare,Bureaucracy,myth,A God,3120651,,
556,"Our position is (that) President Yanukovych needs to lead his country into a new future, and he needs to do so through the vehicle of a new government, change to the constitution and the political order.",02 Journey,Vehicle,government,,vehicle,government,Government,vehicle,Machine/Vehicle,152928,,
1453,"As if the corrupt ponzi scheme, SocialistSecurity weren't an obvious enough failure in American central planning, the government is now pushing to confiscate your 401Ks by mandating a 5% payroll tax to be redistributed to the general populationâ€_ well, in the end, the ""general population"" will get the scraps after government bureaucracy steals and destroys most of it.",06 Morality and Justice,Criminal,bureaucracy,,steals,bureaucracy,Bureaucracy,steals,Theft,2377652,,
1524,These lawsuits drain the resources of the federal agencies and rob the taxpayer at the same time.,06 Morality and Justice,Victim,taxpayer,,rob,taxpayer,Taxation,rob,Theft,1999021,,
1282,"He will change his story as it becomes necessary, as with the weapons of mass destruction, toppling a dictator, bringing democracy to the area, ad infinitum.",05 Engineering and Business: Engineering,Built,democracy,,bringing,democracy,Democracy,bringing,Movement,614794,,
1217,Chicagoland Whet Moser: A modest proposal for selling special elections.,05 Engineering and Business: Business,Product,elections,,selling,elections,Elections,selling,Resource,1781821,,
92,Protect the guns?,01 Health and Safety,Protection,guns,,protect,guns,Guns,Protect,Protection,2145319,,
98,"Election protection is, unfortunately, a necessary aspect of voting because in 2008, U.S. voters are still faced with a number of impediments to casting their ballots for candidates:",01 Health and Safety,Protection,Election,,protection,Election,Elections,protection,Protection,2269885,,
289,"That brain freeze moment was widely regarded as the death of Perry's campaign for the presidency, yet his ad people are turning it around and trying to paint it as a positive.",01 Health and Safety,Threatened,campaign,,death,campaign,Elections,death,Life Stage,3118929,,
911,The have legitimate members who have been fighting for gun rights across the nation.,03 Conflict,Side,gun rights,,fighting,gun rights,Gun Rights,fighting,Struggle,2884446,,
1281,A vote for either R or D where they both support the same system of taxation.,05 Engineering and Business: Engineering,Built,taxation,,system,taxation,Taxation,system,Machine,2672691,,
319,Strongly Opposes topic 14:The Patriot Act harms civil liberties (-5 points on Social scale),01 Health and Safety,Threatened,civil liberties,,harms,civil liberties,Democracy,harms,Physical Harm,2457892,,
1548,"It isn't the neocon fable of intravenous democracy, even if it kills the patient.",07 Systematic Explanations,Topic,intravenous democracy,fable of [topic],fable of,democracy,Democracy,fable,Story,,,
1531,"Anytime there is a ""massacre"" as defined by the FBI of a killing of 4 or more people the press does a full out assault of guns and gun owners.",06 Morality and Justice,Victim,guns,,assault,guns,Guns,assault,War,2378747,,
419,"What I respected is that she didn't use it to attack the firearm, it was just something she associated with her trauma and honestly I can't blame her for having that scar, it's a pretty scary thing to be involved in.",01 Health and Safety,Threatened,firearm,,attack,firearm,Guns,attack,War,2673085,,
135,"One result was that many projects became directly orientated towards poverty relief or towards certain target groups such as women, the poorest etc.",01 Health and Safety,Threat,poverty,,relief,poverty,Poverty,relief,Disease,2235690,,
437,Are we just going to believe the proponents of democracy when they say that democracy has advanced beyond this?,02 Journey,Agent,democracy,,advanced,democracy,Democracy,advanced,Forward Movement,2009719,,
1301,Gun control was a central pillar in President Obama's State of the Union address.,05 Engineering and Business: Engineering,Component,Gun control,,pillar,Gun control,Control of Guns,pillar,Building,2376980,,
1177,"However gun control sells its pubic campaign of citizens safety wringing hands and with tears in their eyes they parade victims screaming, do you want this to happen to you.",05 Engineering and Business: Business,Business,gun control,,sells,gun control,Control of Guns,sells,Business,3788988,,
136,"Just like Obama exemption ultra-mega-billionaire heirs to WalMart from ObamaCare, just like tens of millions and billions in charity to mega corporations, Just like Obama cheering GE for paying ZERO taxes, ObamaCare is for property tax relief to the super rich to shift it instead to blue collar and middle class white collar workers.",01 Health and Safety,Threat,property tax,,relief,property tax,Taxation,relief,Disease,2166248,,
1476,Stealing the Election!,06 Morality and Justice,Property,election,,stealing,Election,Elections,Stealing,Theft,2620739,,
1267,"While the details of the CNCI continue to be worked out, there will be a big emphasis placed on strengthening the government's security posture through more proactive measures.",05 Engineering and Business: Engineering,Built,government,,strengthening,government,Government,strengthening,Building/Strength,2079674,,
331,"Wealth Management is the process of growing and preserving an individual's wealth and assets, as well as establishing a plan for the seamless transfer of those assets to beneficiaries.",01 Health and Safety,Threatened,wealth,,preserving,wealth,Wealth,preserving,Physical Harm,628600,,
758,What's the best way to attack credit card debt?,03 Conflict,Enemy,debt,,attack,debt,Poverty,attack,Struggle/War,2671816,,
317,The government slowly eroding gun rights is the same as a landlord taking away tenant space.,01 Health and Safety,Threatened,gun rights,eroding [threatened],eroding,gun rights,Gun Rights,eroding,Physical Harm,,,
501,"Gun control burdens peaceful citizens, not criminals.",02 Journey,Barrier,Gun control,,burdens,Gun control,Control of Guns,burdens,Physical Burden,2378658,,
698,"Two years later, Samaha has become a prominent and vocal opponent of guns on college campuses.",03 Conflict,Enemy,guns,,opponent,guns,Guns,opponent,Competition,2377010,,
683,"They criticise the movement on the grounds that, ""There is no discussion of even the possibility of founding powerful new political parties, fighting elections, winning office and forming governments with a mandate for fundamental economic and social change "" (p.106).",03 Conflict,Conflict,elections,,fighting,elections,Elections,fighting,War,1997664,,
1643,Hastily-passed omnibus appropriations bills are perhaps the apex of expeditious lawmaking.,12 High and Low,Level,HIGH,,apex,lawmaking,Government,apex,High Location,1970994,,
690,Having Suffered the war of debt in small business I can tell you that this book has been extremely helpful.,03 Conflict,Conflict,debt,,war,debt,Poverty,war,War,123692,,
1245,"Although the application of utilitarian principles may strengthen majority rule, unfettered democracy can lead to tyranny.",05 Engineering and Business: Engineering,Built,majority rule,,strengthen,majority rule,Democracy,strengthen,Building/Strength,2667793,,
477,Bureaucratic hurdles must also be cleared.,02 Journey,Barrier,bureaucratic,,hurdles,Bureaucratic,Bureaucracy,hurdles,Barrier/Game,3028829,,
417,"We attack democracy as such, we don't want ""real democracy"" instead of ""fake democracy.""",01 Health and Safety,Threatened,democracy,,attack,democracy,Democracy,attack,War,1973269,,
674,"The first step in the revolution by the working class is to raise the proletariat to the position of ruling class, to win the battle of Democracy.",03 Conflict,Conflict,Democracy,,battle,Democracy,Democracy,battle,War,1973343,,
700,"Across the globe, free markets and trade have helped defeat poverty, and taught men and women the habits of liberty.""",03 Conflict,Enemy,poverty,,defeat,poverty,Poverty,defeat,Competition/Game/War,750880,,
1694,"Assuming the $967 billion and $80 billion are two separate pools of wealth, then the proposed fiscal 2014 budget for Health and Human Services is more than $1 trillion.",13 Nature: Body of Water,Body of Water,wealth,pools of [body of water],pools,wealth,Wealth,pool,Body of Water,2009730,,
379,"The Constitution protects many other civil liberties besides the freedom of speech and religion, the right of privacy, and the rights of the accused.",01 Health and Safety,Threatened,civil liberties,,protects,civil liberties,Democracy,protects,Protection,2581267,,
434,"He is an expert on trade policy, farm policy, civil liberties, and the growth of government.",02 Journey,Agent,government,,growth,government,Government,growth,Crop,2664925,,
75,"Heck, you might even get some gun control relief down the line...",01 Health and Safety,Protection,gun control,,relief,gun control,Control of Guns,relief,Physical Burden,2378652,,
617,"Lent Appeal raises over 0,560 to challenge poverty More...",03 Conflict,Conflict,poverty,,challenge,poverty,Poverty,challenge,Competition/Struggle,131037,,
787,Proceeds from Technaflora's Recipe for Success Starter Kit sales goes to the Hydro for Hunger initiative that battles hunger around the world.,03 Conflict,Enemy,hunger,,battles,hunger,Poverty,battles,War,601849,,
186,Rodster It just goes to show how the Government destroys wealth.,01 Health and Safety,Threat,Government,,destroys,Government,Government,destroys,Natural Physical Force/Physical Harm,1973664,,
174,"If it is the money itself that is evil, then we can make ourselves into poor innocent victims of evil wealth.",01 Health and Safety,Threat,wealth,,evil,wealth,Wealth,evil,Monster,2378334,,
1395,"Democrats still hold a thin majority in the House but are bereft of the iron-fisted ruler who held their party's contentious liberal and conservative factions together - Speaker Tom Murphy, another 2002 election victim.",06 Morality and Justice,Crime,election,,victim,election,Elections,victim,Crime,2377780,,
263,An invasion of wealth may not suit their interests.,01 Health and Safety,Threat,wealth,,invasion,wealth,Wealth,invasion,War,2378567,,
1635,"Obviously slavery is wrong, which is why we need to seriously reconsider our current depth of taxation.",12 High and Low,Level,LOW,,depth,taxation,Taxation,depth,Abyss,2377499,,
27,For those who think high taxes cure pothole problems I have one word -- Omaha.,01 Health and Safety,Protection,taxes,,cure,taxes,Taxation,cure,Disease,158745,,
226,"* Our kids will earn more than we do * Free trade is always good, no matter who gets hurt * Employers should be responsible for health coverage * Taxes hurt the economy * Schools are a local matter * Money follows merit",01 Health and Safety,Threat,taxes,,hurt,Taxes,Taxation,hurt,Physical Harm,1944889,,
182,There are many proven strategies to guard your wealth against the devastation of taxation.,01 Health and Safety,Threat,taxation,,devastation,taxation,Taxation,devastation,Natural Physical Force,159628,,
253,"In any event, widespread and ever-increasing poverty weakens the entire country and a weak country could easily fall prey to radical solutions claiming to change the situation for the better.",01 Health and Safety,Threat,poverty,,weakens,poverty,Poverty,weakens,Physical Harm/Weakness,1771252,,
814,"What gun control will not give up easily is its foot soldiers, its public influence.",03 Conflict,Loser,gun control,,give up,gun control,Control of Guns,give up,Emotion Experiencer,2664668,,
108,Because the â€˜fed' is funding the spending addiction of the government.,01 Health and Safety,Threat,government,,addiction,government,Government,addiction,Addiction,761719,,
406,He attacked the government of Juan MartÃ_n de PueyrredÃ_n and was banished (1817).,01 Health and Safety,Threatened,government,,attacked,government,Government,attacked,Struggle/War,2672057,,
774,Business Fights Poverty is an international network for professionals passionate about fighting world poverty through good business.,03 Conflict,Enemy,poverty,,fighting,poverty,Poverty,fighting,Struggle/War,1081745,,
1411,"And yet, with all of the strangeness of the story, those damned guns steal the spotlight.",06 Morality and Justice,Crime,steal,,steal,guns,Guns,steal,Theft,2378717,,
400,Recession entertainment @ its finest. fight hunger by promoting a competitive eater.,01 Health and Safety,Threatened,hunger,,fight,hunger,Poverty,fight,Struggle,134928,,
167,"Your implication will be that guns are evil and have no place in society, much less in our schools.",01 Health and Safety,Threat,guns,[threat] is/are evil,evil,guns,Guns,evil,Monster,2119654,,
597,"Socialist parties also challenged governments, particularly during the Great Depression, to tackle the inequalities that were still widespread in democratic and wealthy nations.",03 Conflict,Conflict,governments,,challenged,governments,Government,challenged,Competition,2662164,,
1571,"On the other hand, the bourgeoisie, the peasants, the workers are frowned on as the natural prey of democracy, socialism, and the revolution.",09 Animals,Wild Animal,democracy,prey of [wild animal],prey of,democracy,Democracy,prey,Animal,156291,,
1337,Such a scenario would drastically diminish Colombia's already limited democracy and result in a military escalation of the conflict that would inevitably target rural Colombians in guerrilla-controlled areas of the country.,05 Engineering and Business: Resource,Change Type,DECREASE,,diminish,democracy,Democracy,diminish,Resource,2663970,,
1613,The Second amendment illuminates one of the most basic rights inherent in being a free human being.,11 Darkness and Light,Entity,Second amendment,,illuminates,Second amendment,Gun Rights,illuminates,Light,2377645,,
1622,Compare that to the U.S. where both jobs and disposable income are declining.,12 High and Low,Agent,disposable income,[agent] are declining,declining,disposable income,Wealth,declining,Downward Movement,2659115,,
